train/n_updates,train/entropy_loss,train/explained_variance,time/total_timesteps,train/learning_rate,time/time_elapsed,train/value_loss,time/fps,train/policy_loss,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean
99,-2.8804869651794434,-0.008117437362670898,8000,4.7838391492404546e-05,25,0.18050813674926758,311,-0.21558856964111328,100,,
199,-2.8644559383392334,-0.005499482154846191,16000,4.7838391492404546e-05,49,0.05221023038029671,323,0.03827543184161186,200,-5.0,2384.8
299,-2.7971818447113037,-0.011118769645690918,24000,4.7838391492404546e-05,73,0.2290370911359787,327,0.34901005029678345,300,-9.7,2390.2
399,-2.7741026878356934,0.001368403434753418,32000,4.7838391492404546e-05,96,0.394757479429245,330,0.34758806228637695,400,-7.3,2376.3
499,-2.4405086040496826,0.007624983787536621,40000,4.7838391492404546e-05,120,0.10597331821918488,330,-0.33702534437179565,500,-1.7,2389.1
599,-2.636000633239746,-0.013365030288696289,48000,4.7838391492404546e-05,144,0.29574263095855713,331,-0.054411500692367554,600,-2.3,2382.5
699,-2.522045850753784,-0.04824423789978027,56000,4.7838391492404546e-05,168,0.22065003216266632,333,-0.22959668934345245,700,-2.3,2382.5
799,-2.4064507484436035,-0.027736663818359375,64000,4.7838391492404546e-05,191,0.2512090802192688,333,0.0959683284163475,800,-1.8,2388.1
899,-2.442722797393799,-0.0024756193161010742,72000,4.7838391492404546e-05,215,0.24588429927825928,333,0.26489707827568054,900,-5.9,2381.8
999,-2.194608688354492,0.0460057258605957,80000,4.7838391492404546e-05,239,0.24483929574489594,334,0.04468657076358795,1000,-3.1,2376.4
1099,-2.5246071815490723,0.015086770057678223,88000,4.7838391492404546e-05,263,0.18792665004730225,334,-0.3280331790447235,1100,-5.5,2373.3
1199,-2.5331780910491943,0.003525972366333008,96000,4.7838391492404546e-05,287,0.3826667368412018,334,0.06967081874608994,1200,-4.6,2387.7
1299,-2.4205992221832275,-0.008240461349487305,104000,4.7838391492404546e-05,310,0.26443085074424744,334,0.422995001077652,1300,-2.9,2380.7
1399,-2.3531222343444824,0.03625011444091797,112000,4.7838391492404546e-05,334,0.30840978026390076,334,0.6972455382347107,1400,-3.9,2378.9
1499,-2.351743459701538,0.0013135075569152832,120000,4.7838391492404546e-05,358,0.315935343503952,334,-0.10210049152374268,1500,-5.1,2376.9
1599,-2.501225233078003,0.024133801460266113,128000,4.7838391492404546e-05,382,0.11031635105609894,335,-0.08640726655721664,1600,-5.4,2386.2
1699,-2.4998395442962646,0.0021674633026123047,136000,4.7838391492404546e-05,405,0.43069273233413696,335,0.027349544689059258,1700,-4.1,2371.7
1799,-2.425447702407837,0.02194666862487793,144000,4.7838391492404546e-05,429,0.7492484450340271,335,-0.8518401384353638,1800,-4.7,2381.4
1899,-2.611936092376709,-0.024828433990478516,152000,4.7838391492404546e-05,453,0.21669168770313263,335,-0.2617802321910858,1900,-4.4,2385.3
1999,-2.400444984436035,0.01824474334716797,160000,4.7838391492404546e-05,476,0.24339838325977325,335,-0.13706296682357788,2000,-4.3,2385.8
2099,-2.646951675415039,0.04284447431564331,168000,4.7838391492404546e-05,500,0.2019125521183014,335,-0.2426282912492752,2100,-5.1,2379.7
2199,-2.061537504196167,0.04107171297073364,176000,4.7838391492404546e-05,524,0.189637690782547,335,-0.4023338258266449,2200,-3.9,2392.0
2299,-1.9298142194747925,0.06551289558410645,184000,4.7838391492404546e-05,548,0.10641016066074371,335,0.20105810463428497,2300,-4.4,2387.1
2399,-2.2109756469726562,0.02103102207183838,192000,4.7838391492404546e-05,571,0.20468004047870636,335,0.11267578601837158,2400,-10.9,2375.7
2499,-2.3307063579559326,-0.02924978733062744,200000,4.7838391492404546e-05,595,0.24818789958953857,335,0.22087068855762482,2500,-6.3,2375.5
2599,-2.0443150997161865,0.019300103187561035,208000,4.7838391492404546e-05,619,0.2461385726928711,335,0.4755455553531647,2600,-8.5,2382.1
2699,-1.8117913007736206,0.010136425495147705,216000,4.7838391492404546e-05,642,0.1474890410900116,335,0.12314970791339874,2700,-8.6,2383.1
2799,-2.13423228263855,0.005018711090087891,224000,4.7838391492404546e-05,666,0.3087986409664154,336,-0.1033242866396904,2800,-5.2,2373.9
2899,-1.8778629302978516,-0.008040070533752441,232000,4.7838391492404546e-05,690,0.14617769420146942,336,-0.20376203954219818,2900,-11.4,2380.4
2999,-1.9476639032363892,-0.03522992134094238,240000,4.7838391492404546e-05,714,0.12274613231420517,336,-0.1599539965391159,3000,-13.0,2384.9
3099,-1.8600698709487915,-0.03219711780548096,248000,4.7838391492404546e-05,737,0.3687984049320221,336,-0.12828665971755981,3100,-5.8,2377.1
3199,-1.8208808898925781,-0.019192814826965332,256000,4.7838391492404546e-05,761,0.14308269321918488,336,-0.17034168541431427,3200,-3.1,2380.9
3299,-2.2158687114715576,-0.029709219932556152,264000,4.7838391492404546e-05,785,0.23509536683559418,336,-0.14310063421726227,3300,-4.8,2373.7
3399,-2.3514339923858643,0.02713698148727417,272000,4.7838391492404546e-05,809,0.18876485526561737,336,0.04333364963531494,3400,-6.3,2377.6
3499,-2.3188514709472656,-0.007831931114196777,280000,4.7838391492404546e-05,832,0.10597630590200424,336,-0.261348158121109,3500,-6.7,2382.9
3599,-2.110006093978882,-0.016794204711914062,288000,4.7838391492404546e-05,856,0.05538981035351753,336,-0.04109400138258934,3600,-7.1,2377.7
3699,-2.3901264667510986,0.08694446086883545,296000,4.7838391492404546e-05,880,0.11338571459054947,336,-0.09916413575410843,3700,-1.8,2383.2
3799,-2.3813376426696777,-0.02614748477935791,304000,4.7838391492404546e-05,903,0.22409391403198242,336,0.03201960772275925,3800,-3.0,2381.6
3899,-1.9834434986114502,0.09222006797790527,312000,4.7838391492404546e-05,927,0.28468263149261475,336,0.02191925048828125,3900,-4.5,2381.6
3999,-2.207843065261841,0.03880959749221802,320000,4.7838391492404546e-05,951,0.1588154137134552,336,-0.0610467754304409,4000,-4.7,2381.6
4099,-2.1797401905059814,0.015407800674438477,328000,4.7838391492404546e-05,974,0.25864601135253906,336,0.02686411701142788,4100,-0.6,2378.1
4199,-1.9143803119659424,-0.012658834457397461,336000,4.7838391492404546e-05,998,0.13539421558380127,336,0.08498400449752808,4200,-1.5,2388.0
4299,-2.4960873126983643,-0.004662871360778809,344000,4.7838391492404546e-05,1022,0.27076244354248047,336,-0.21796885132789612,4300,-1.9,2379.7
4399,-2.0561506748199463,-0.02113938331604004,352000,4.7838391492404546e-05,1046,0.2672024369239807,336,0.2517995536327362,4400,-4.1,2386.8
4499,-2.253053665161133,0.024488449096679688,360000,4.7838391492404546e-05,1070,0.42265549302101135,336,-0.3569781482219696,4500,-4.1,2386.0
4599,-1.6534706354141235,0.01279294490814209,368000,4.7838391492404546e-05,1093,0.3216564953327179,336,-0.17809878289699554,4600,-4.3,2378.2
4699,-1.559272050857544,0.0008685588836669922,376000,4.7838391492404546e-05,1117,0.0716906413435936,336,0.05500010401010513,4700,-2.4,2373.1
4799,-1.910847544670105,-0.025448203086853027,384000,4.7838391492404546e-05,1140,0.2495506852865219,336,-0.010850712656974792,4800,-5.7,2375.7
4899,-1.9947655200958252,-0.008389711380004883,392000,4.7838391492404546e-05,1164,0.235182985663414,336,-0.20969414710998535,4900,-9.9,2379.3
4999,-2.1533524990081787,0.004321157932281494,400000,4.7838391492404546e-05,1188,0.5348266959190369,336,-0.23005686700344086,5000,-4.6,2377.6
5099,-2.120450258255005,-0.026920676231384277,408000,4.7838391492404546e-05,1212,0.4278894066810608,336,0.05322714522480965,5100,-0.9,2384.5
5199,-1.741876482963562,0.019030094146728516,416000,4.7838391492404546e-05,1235,0.36323922872543335,336,0.1416046917438507,5200,-4.2,2378.1
5299,-1.5888243913650513,0.11663919687271118,424000,4.7838391492404546e-05,1259,0.12677177786827087,336,0.07794451713562012,5300,-3.4,2378.2
5399,-1.7167953252792358,-0.01089787483215332,432000,4.7838391492404546e-05,1283,0.13149607181549072,336,-0.13824796676635742,5400,-4.8,2379.5
5499,-1.5133543014526367,0.045486629009246826,440000,4.7838391492404546e-05,1306,0.2213558703660965,336,0.08411329984664917,5500,-8.7,2382.2
5599,-1.76144278049469,0.053895413875579834,448000,4.7838391492404546e-05,1330,0.17854265868663788,336,-0.028451351448893547,5600,-6.7,2389.0
5699,-1.7610477209091187,0.07006245851516724,456000,4.7838391492404546e-05,1354,0.35891634225845337,336,-0.017776940017938614,5700,-7.1,2382.8
5799,-1.657396912574768,-0.02316915988922119,464000,4.7838391492404546e-05,1378,0.37185850739479065,336,0.2709072530269623,5800,-6.4,2378.9
5899,-1.7348918914794922,0.05134284496307373,472000,4.7838391492404546e-05,1401,0.1420932114124298,336,0.04345349222421646,5900,-11.7,2379.2
5999,-1.8104190826416016,0.05341988801956177,480000,4.7838391492404546e-05,1425,0.11969007551670074,336,0.22359342873096466,6000,-12.0,2377.9
6099,-1.960761308670044,0.068378746509552,488000,4.7838391492404546e-05,1449,0.1157357320189476,336,-0.053362634032964706,6100,-4.6,2385.0
6199,-2.108499526977539,-0.013725042343139648,496000,4.7838391492404546e-05,1473,0.06968963891267776,336,-0.0394623838365078,6200,-5.6,2380.8
6299,-2.07193922996521,-0.045983076095581055,504000,4.7838391492404546e-05,1496,0.3645937144756317,336,0.19173204898834229,6300,-8.3,2384.7
6399,-1.9824135303497314,0.027383804321289062,512000,4.7838391492404546e-05,1520,0.3476784825325012,336,-0.04884665086865425,6400,-5.1,2384.7
6499,-1.7785953283309937,-0.007206320762634277,520000,4.7838391492404546e-05,1544,0.15652993321418762,336,0.22151337563991547,6500,-7.8,2386.2
6599,-2.2392704486846924,-0.00979304313659668,528000,4.7838391492404546e-05,1568,0.3497184216976166,336,0.469387024641037,6600,-5.9,2378.0
6699,-1.9964354038238525,-0.060150861740112305,536000,4.7838391492404546e-05,1591,0.2192600965499878,336,-0.07002943754196167,6700,-6.6,2381.1
6799,-2.06569766998291,-0.013125419616699219,544000,4.7838391492404546e-05,1615,0.19364452362060547,336,-0.17647336423397064,6800,-6.3,2379.9
6899,-1.8073819875717163,0.002206742763519287,552000,4.7838391492404546e-05,1639,0.21617667376995087,336,-0.12414951622486115,6900,-4.6,2374.3
6999,-2.0281941890716553,0.11700439453125,560000,4.7838391492404546e-05,1662,0.1284719556570053,336,-0.006429112050682306,7000,-6.1,2382.7
7099,-1.9874540567398071,0.054578542709350586,568000,4.7838391492404546e-05,1686,0.14563114941120148,336,0.18354927003383636,7100,-5.3,2379.8
7199,-2.258073568344116,0.0612797737121582,576000,4.7838391492404546e-05,1710,0.3857453763484955,336,-0.05758209154009819,7200,-4.8,2381.1
7299,-2.139815092086792,0.0011182427406311035,584000,4.7838391492404546e-05,1733,0.3418044447898865,336,0.5538684725761414,7300,-4.7,2378.4
7399,-1.7768564224243164,0.062435150146484375,592000,4.7838391492404546e-05,1757,0.11997461318969727,336,-0.04943196475505829,7400,-1.9,2375.5
7499,-1.6325124502182007,-0.12196767330169678,600000,4.7838391492404546e-05,1781,0.1291598081588745,336,0.22928224503993988,7500,-7.2,2382.0
7599,-1.706419587135315,-0.0242764949798584,608000,4.7838391492404546e-05,1805,0.25306230783462524,336,0.03575270250439644,7600,-9.5,2387.6
7699,-1.7470102310180664,0.07866954803466797,616000,4.7838391492404546e-05,1829,0.2585696876049042,336,0.26837849617004395,7700,-6.2,2371.9
7799,-2.033360242843628,-0.00010514259338378906,624000,4.7838391492404546e-05,1852,0.22763311862945557,336,-0.2247406542301178,7800,-5.1,2377.5
7899,-2.239624500274658,0.006087899208068848,632000,4.7838391492404546e-05,1876,0.144756019115448,336,0.1032819077372551,7900,-1.9,2383.2
7999,-2.2499585151672363,-0.060971975326538086,640000,4.7838391492404546e-05,1900,0.08682795614004135,336,-0.09516339749097824,8000,-1.0,2387.4
8099,-1.5378106832504272,-0.04495072364807129,648000,4.7838391492404546e-05,1924,0.24908344447612762,336,0.13008370995521545,8100,-2.4,2379.7
8199,-2.3350350856781006,0.02442324161529541,656000,4.7838391492404546e-05,1948,0.4142870604991913,336,-0.21287448704242706,8200,-3.1,2378.8
8299,-2.054333209991455,-0.0019081830978393555,664000,4.7838391492404546e-05,1971,0.2751791179180145,336,-0.25955507159233093,8300,-2.9,2380.5
8399,-1.6799968481063843,-0.03656923770904541,672000,4.7838391492404546e-05,1995,0.24803951382637024,336,0.18509040772914886,8400,-6.5,2386.0
8499,-1.6992939710617065,0.019365310668945312,680000,4.7838391492404546e-05,2019,0.5948386192321777,336,-0.35743558406829834,8500,-5.7,2378.1
8599,-1.6713100671768188,0.03241831064224243,688000,4.7838391492404546e-05,2042,0.3294033706188202,336,0.2707391381263733,8600,-5.6,2376.9
8699,-1.6112536191940308,0.0037586092948913574,696000,4.7838391492404546e-05,2066,0.35636278986930847,336,0.03865152597427368,8700,-4.1,2384.9
8799,-1.4953244924545288,-0.14043259620666504,704000,4.7838391492404546e-05,2090,0.10645463317632675,336,-0.04133337736129761,8800,-6.9,2384.5
8899,-1.6303523778915405,0.0338248610496521,712000,4.7838391492404546e-05,2114,0.27305087447166443,336,0.022816812619566917,8900,0.0,2382.9
8999,-1.4431976079940796,0.03683781623840332,720000,4.7838391492404546e-05,2137,0.1808936893939972,336,0.20354680716991425,9000,0.6,2377.4
9099,-1.6456642150878906,0.052753746509552,728000,4.7838391492404546e-05,2161,0.13088232278823853,336,0.1576623171567917,9100,4.0,2388.2
9199,-1.9552582502365112,0.024324893951416016,736000,4.7838391492404546e-05,2185,0.343927800655365,336,0.19162379205226898,9200,0.7,2373.7
9299,-1.8922697305679321,0.019809067249298096,744000,4.7838391492404546e-05,2208,0.2097654789686203,336,-0.14342547953128815,9300,1.2,2375.5
9399,-1.8083515167236328,-0.007166743278503418,752000,4.7838391492404546e-05,2232,0.2070256769657135,336,0.09906213730573654,9400,0.4,2382.4
9499,-2.1488590240478516,0.09166282415390015,760000,4.7838391492404546e-05,2256,0.16437053680419922,336,0.4085597097873688,9500,0.5,2383.1
9599,-2.158489227294922,-0.024624228477478027,768000,4.7838391492404546e-05,2280,0.1957504004240036,336,-0.3755698800086975,9600,-1.1,2375.7
9699,-2.4043641090393066,-0.043382883071899414,776000,4.7838391492404546e-05,2304,0.3545342981815338,336,0.18845127522945404,9700,-5.4,2380.6
9799,-2.34668231010437,-0.006898164749145508,784000,4.7838391492404546e-05,2328,0.34687408804893494,336,-0.2528386116027832,9800,-1.6,2380.2
9899,-2.2217719554901123,-0.0389859676361084,792000,4.7838391492404546e-05,2351,0.3572671413421631,336,-0.008615207858383656,9900,-3.0,2381.9
9999,-2.3182754516601562,0.050238192081451416,800000,4.7838391492404546e-05,2375,0.25238585472106934,336,0.126506045460701,10000,-4.3,2378.6
10099,-1.8329447507858276,0.03974980115890503,808000,4.7838391492404546e-05,2399,0.31095197796821594,336,0.0055152191780507565,10100,-0.8,2385.9
10199,-1.9080257415771484,-0.06936538219451904,816000,4.7838391492404546e-05,2422,0.32456907629966736,336,-0.0767594575881958,10200,-4.7,2386.3
10299,-1.5885076522827148,-0.08579361438751221,824000,4.7838391492404546e-05,2446,0.2038077414035797,336,0.05279213935136795,10300,-5.0,2385.3
10399,-1.6837936639785767,0.08930456638336182,832000,4.7838391492404546e-05,2470,0.22111837565898895,336,-0.03706727549433708,10400,-2.6,2384.0
10499,-1.674391746520996,0.045691490173339844,840000,4.7838391492404546e-05,2494,0.255397766828537,336,-0.2215263694524765,10500,-6.9,2378.9
10599,-1.7165908813476562,-0.021212220191955566,848000,4.7838391492404546e-05,2517,0.23510999977588654,336,-0.21347086131572723,10600,-7.6,2375.0
10699,-2.042609930038452,0.04388517141342163,856000,4.7838391492404546e-05,2541,0.20275922119617462,336,-0.18413026630878448,10700,-3.8,2381.0
10799,-1.8420116901397705,0.16989070177078247,864000,4.7838391492404546e-05,2565,0.05512769892811775,336,-0.12924419343471527,10800,-1.5,2378.7
10899,-1.933310866355896,0.0654834508895874,872000,4.7838391492404546e-05,2589,0.23561067879199982,336,0.0581001415848732,10900,-5.0,2384.3
10999,-1.813862681388855,0.08714604377746582,880000,4.7838391492404546e-05,2612,0.13144300878047943,336,0.04269256815314293,11000,-5.2,2380.8
11099,-1.4942048788070679,-0.01673281192779541,888000,4.7838391492404546e-05,2636,0.0912061333656311,336,0.037766795605421066,11100,0.9,2382.4
11199,-1.4543862342834473,0.22262871265411377,896000,4.7838391492404546e-05,2660,0.1814381331205368,336,0.06589663773775101,11200,-4.6,2382.0
11299,-1.5216503143310547,0.006548821926116943,904000,4.7838391492404546e-05,2683,0.3141150176525116,336,0.023334193974733353,11300,-3.6,2381.1
11399,-1.9307209253311157,-0.014424324035644531,912000,4.7838391492404546e-05,2707,0.35566025972366333,336,-0.25077930092811584,11400,-3.5,2380.1
11499,-1.6453907489776611,-0.019580960273742676,920000,4.7838391492404546e-05,2731,0.1893993616104126,336,-0.21544034779071808,11500,2.3,2379.3
11599,-1.6751056909561157,0.07805705070495605,928000,4.7838391492404546e-05,2755,0.12565362453460693,336,-0.22627563774585724,11600,-0.7,2377.0
11699,-1.5415847301483154,0.0744885802268982,936000,4.7838391492404546e-05,2779,0.14396344125270844,336,-0.035901185125112534,11700,3.9,2380.1
11799,-1.2712745666503906,0.01606971025466919,944000,4.7838391492404546e-05,2802,0.2707599103450775,336,0.3108152747154236,11800,-1.5,2377.1
11899,-1.5328353643417358,0.009856939315795898,952000,4.7838391492404546e-05,2826,0.2995510995388031,336,-0.056180067360401154,11900,-1.4,2377.6
11999,-1.5952616930007935,0.053210318088531494,960000,4.7838391492404546e-05,2849,0.19867442548274994,336,-0.0677817091345787,12000,0.8,2382.9
12099,-1.4274698495864868,-0.0230482816696167,968000,4.7838391492404546e-05,2873,0.2967049181461334,336,0.18802094459533691,12100,-2.6,2385.7
12199,-1.3602566719055176,0.07132065296173096,976000,4.7838391492404546e-05,2897,0.33620819449424744,336,0.006932370364665985,12200,-1.0,2376.0
12299,-1.9536577463150024,-0.0190427303314209,984000,4.7838391492404546e-05,2921,0.2845708131790161,336,-0.15534426271915436,12300,-2.4,2383.6
12399,-2.201446533203125,0.015243351459503174,992000,4.7838391492404546e-05,2945,0.19848306477069855,336,0.12227757275104523,12400,1.5,2385.1
12499,-1.5771888494491577,-0.0025326013565063477,1000000,4.7838391492404546e-05,2969,0.27185410261154175,336,-0.11045632511377335,12500,0.7,2382.2
