train/entropy_loss,train/policy_loss,time/fps,time/total_timesteps,time/time_elapsed,train/learning_rate,train/value_loss,train/n_updates,rollout/ep_rew_mean,train/explained_variance,rollout/ep_len_mean,time/iterations
-1.786014199256897,-0.024807320907711983,339,8000,23,7.237194927023023e-05,0.15263019502162933,99,-20.9,0.1478840708732605,902.0,100
-1.7873207330703735,0.16633449494838715,354,16000,45,7.237194927023023e-05,0.13093511760234833,199,-21.0,0.1996629238128662,870.8,200
-1.789215087890625,0.11875169724225998,360,24000,66,7.237194927023023e-05,0.05454590544104576,299,-20.7,0.4189167022705078,853.2,300
-1.7876609563827515,0.0048479437828063965,363,32000,88,7.237194927023023e-05,0.11611693352460861,399,-20.8,0.1990090012550354,871.6,400
-1.788387656211853,0.04733278229832649,365,40000,109,7.237194927023023e-05,0.11325361579656601,499,-20.6,0.4326481223106384,882.0,500
-1.7864834070205688,-0.05436786636710167,366,48000,131,7.237194927023023e-05,0.12026076763868332,599,-21.0,0.2710024118423462,847.6,600
-1.7829866409301758,0.1637769192457199,367,56000,152,7.237194927023023e-05,0.06360649317502975,699,-20.5,0.44641923904418945,931.3,700
-1.7865971326828003,-0.07824508100748062,367,64000,173,7.237194927023023e-05,0.1196770891547203,799,-21.0,0.35660237073898315,822.1,800
-1.7807596921920776,0.07947220653295517,368,72000,195,7.237194927023023e-05,0.043033044785261154,899,-20.8,0.6974643170833588,869.9,900
-1.7837013006210327,-0.25979891419410706,368,80000,216,7.237194927023023e-05,0.11083626747131348,999,-20.6,0.47753196954727173,873.5,1000
-1.781025767326355,0.07250090688467026,369,88000,238,7.237194927023023e-05,0.07472861558198929,1099,-20.7,0.4230189919471741,878.6,1100
-1.7728556394577026,0.03176899254322052,369,96000,259,7.237194927023023e-05,0.012826668098568916,1199,-20.7,0.9235530719161034,869.2,1200
-1.7854413986206055,0.030213261023163795,369,104000,281,7.237194927023023e-05,0.07275094091892242,1299,-20.8,0.6523896753787994,885.4,1300
-1.7845007181167603,0.01642575114965439,369,112000,302,7.237194927023023e-05,0.15640337765216827,1399,-20.9,0.09107720851898193,885.7,1400
-1.7859100103378296,-0.038583844900131226,369,120000,324,7.237194927023023e-05,0.03286105394363403,1499,-20.7,0.6632998883724213,897.0,1500
-1.7872282266616821,-0.08019891381263733,369,128000,345,7.237194927023023e-05,0.05242433026432991,1599,-20.9,0.6929733157157898,873.0,1600
-1.7816212177276611,0.07316305488348007,370,136000,367,7.237194927023023e-05,0.041112422943115234,1699,-20.8,0.7297263443470001,868.5,1700
-1.7844537496566772,0.051981568336486816,370,144000,388,7.237194927023023e-05,0.11534088104963303,1799,-20.8,0.47962242364883423,876.3,1800
-1.7828247547149658,-0.07991243898868561,370,152000,410,7.237194927023023e-05,0.05486971139907837,1899,-20.9,0.8147222697734833,849.0,1900
-1.7811412811279297,0.010975618846714497,370,160000,431,7.237194927023023e-05,0.04074687883257866,1999,-20.8,0.6027192175388336,907.0,2000
-1.7813278436660767,-0.09885755181312561,370,168000,453,7.237194927023023e-05,0.06478194147348404,2099,-20.9,0.4966590404510498,895.8,2100
-1.7811634540557861,-0.06114506348967552,370,176000,474,7.237194927023023e-05,0.03451042249798775,2199,-20.8,0.8530912697315216,865.4,2200
-1.781274437904358,0.2073519229888916,370,184000,496,7.237194927023023e-05,0.07962477207183838,2299,-20.6,0.7407405376434326,889.4,2300
-1.785715937614441,0.032445091754198074,370,192000,517,7.237194927023023e-05,0.052922893315553665,2399,-20.8,0.7354134917259216,868.6,2400
-1.783664345741272,-0.0062745437026023865,370,200000,539,7.237194927023023e-05,0.01746406778693199,2499,-20.8,0.8532589077949524,848.0,2500
-1.7841198444366455,0.06426176428794861,370,208000,560,7.237194927023023e-05,0.13227277994155884,2599,-20.7,0.4728444814682007,865.7,2600
-1.7866991758346558,-0.13459466397762299,370,216000,582,7.237194927023023e-05,0.07099372148513794,2699,-20.8,0.499248206615448,855.1,2700
-1.7845432758331299,0.08094072341918945,371,224000,602,7.237194927023023e-05,0.05968717485666275,2799,-20.8,0.6955312192440033,871.7,2800
-1.7841405868530273,-0.033592261373996735,372,232000,623,7.237194927023023e-05,0.0690281018614769,2899,-20.8,0.823619470000267,867.0,2900
-1.7823095321655273,-0.11566426604986191,372,240000,643,7.237194927023023e-05,0.03171844407916069,2999,-20.8,0.8534017205238342,882.3,3000
-1.7811275720596313,0.07792359590530396,373,248000,664,7.237194927023023e-05,0.06999588012695312,3099,-20.8,0.5524894595146179,877.3,3100
-1.783660888671875,0.09656474739313126,373,256000,684,7.237194927023023e-05,0.031769201159477234,3199,-20.6,0.7645127326250076,852.3,3200
-1.782934546470642,0.045598354190588,374,264000,705,7.237194927023023e-05,0.08216645568609238,3299,-20.9,0.3525605797767639,817.0,3300
-1.7761070728302002,-0.017237406224012375,374,272000,726,7.237194927023023e-05,0.00990040972828865,3399,-20.6,0.9432510919868946,903.9,3400
-1.7819627523422241,-0.07585511356592178,374,280000,746,7.237194927023023e-05,0.03135192394256592,3499,-20.9,0.9035860747098923,833.1,3500
-1.7808555364608765,0.09845717996358871,375,288000,767,7.237194927023023e-05,0.06145254522562027,3599,-20.4,0.5142393708229065,896.3,3600
-1.7791026830673218,0.048356641083955765,375,296000,787,7.237194927023023e-05,0.02785455621778965,3699,-20.7,0.8779837489128113,885.2,3700
-1.777533769607544,0.05114390328526497,376,304000,808,7.237194927023023e-05,0.060529764741659164,3799,-20.9,0.7438290417194366,879.5,3800
-1.7793877124786377,0.06547828763723373,376,312000,828,7.237194927023023e-05,0.04648029804229736,3899,-20.6,0.8162731230258942,880.4,3900
-1.7800025939941406,-0.049259431660175323,376,320000,849,7.237194927023023e-05,0.02973102405667305,3999,-21.0,0.7734442502260208,846.4,4000
-1.7806671857833862,-0.09576709568500519,376,328000,870,7.237194927023023e-05,0.02636796049773693,4099,-20.6,0.9044424891471863,883.1,4100
-1.7808326482772827,-0.04218021780252457,377,336000,890,7.237194927023023e-05,0.023426150903105736,4199,-20.9,0.8270654380321503,862.0,4200
-1.775628685951233,0.09642066806554794,377,344000,911,7.237194927023023e-05,0.03588077798485756,4299,-20.7,0.8424652069807053,855.2,4300
-1.7762526273727417,-0.23987150192260742,377,352000,931,7.237194927023023e-05,0.10807278007268906,4399,-21.0,0.45879894495010376,849.7,4400
-1.7715801000595093,0.060494162142276764,378,360000,952,7.237194927023023e-05,0.041439250111579895,4499,-20.9,0.8225710839033127,839.4,4500
-1.782594919204712,-0.009866239503026009,378,368000,972,7.237194927023023e-05,0.030168339610099792,4599,-20.7,0.8710497468709946,837.5,4600
-1.780660629272461,0.021168431267142296,378,376000,993,7.237194927023023e-05,0.01537631917744875,4699,-20.8,0.8650039434432983,898.1,4700
-1.7815808057785034,0.08302295953035355,378,384000,1014,7.237194927023023e-05,0.06323136389255524,4799,-20.5,0.7066510617733002,888.4,4800
-1.7809371948242188,-0.07507070899009705,378,392000,1034,7.237194927023023e-05,0.030673129484057426,4899,-20.9,0.8390002548694611,843.4,4900
-1.7848728895187378,-0.03509950637817383,379,400000,1055,7.237194927023023e-05,0.06182923913002014,4999,-20.7,0.5890041887760162,896.6,5000
-1.782602310180664,0.0730375424027443,379,408000,1075,7.237194927023023e-05,0.059754837304353714,5099,-21.0,0.7241547405719757,834.6,5100
-1.785066843032837,-0.07849233597517014,379,416000,1096,7.237194927023023e-05,0.03948309272527695,5199,-20.9,0.8109668791294098,841.3,5200
-1.7849291563034058,-0.036536674946546555,379,424000,1117,7.237194927023023e-05,0.047356899827718735,5299,-20.9,0.68452188372612,856.3,5300
-1.7857118844985962,-0.1382526457309723,379,432000,1137,7.237194927023023e-05,0.048025619238615036,5399,-20.6,0.8709919452667236,868.5,5400
-1.7828091382980347,-0.061294712126255035,379,440000,1158,7.237194927023023e-05,0.020573416724801064,5499,-20.7,0.8814504444599152,873.2,5500
-1.7823065519332886,-0.055618833750486374,380,448000,1178,7.237194927023023e-05,0.09030336141586304,5599,-20.8,0.4263960123062134,870.5,5600
-1.7793426513671875,-0.004948952700942755,380,456000,1199,7.237194927023023e-05,0.032226599752902985,5699,-20.8,0.8263322860002518,863.7,5700
-1.780429482460022,0.06662607192993164,380,464000,1219,7.237194927023023e-05,0.011503027752041817,5799,-20.8,0.9520060904324055,904.0,5800
-1.7811024188995361,-0.11556630581617355,380,472000,1240,7.237194927023023e-05,0.024683043360710144,5899,-20.7,0.8104802668094635,861.8,5900
-1.7822808027267456,-0.053631287068128586,380,480000,1261,7.237194927023023e-05,0.02468867413699627,5999,-20.8,0.7855603247880936,833.0,6000
-1.7860721349716187,-0.14099040627479553,380,488000,1281,7.237194927023023e-05,0.05226677656173706,6099,-20.6,0.7170628309249878,908.4,6100
-1.7849498987197876,-0.32805320620536804,380,496000,1302,7.237194927023023e-05,0.09880470484495163,6199,-20.9,0.53972128033638,894.7,6200
-1.7842715978622437,0.06324433535337448,381,504000,1322,7.237194927023023e-05,0.1383727788925171,6299,-20.9,0.48136621713638306,885.5,6300
-1.7768367528915405,-0.05208738520741463,381,512000,1343,7.237194927023023e-05,0.050382889807224274,6399,-20.7,0.6235818266868591,874.6,6400
-1.7818387746810913,-0.16113926470279694,381,520000,1364,7.237194927023023e-05,0.050083767622709274,6499,-20.8,0.8392873555421829,871.3,6500
-1.7791489362716675,0.16276924312114716,381,528000,1384,7.237194927023023e-05,0.062117721885442734,6599,-20.5,0.6066638827323914,914.5,6600
-1.7789440155029297,0.023843778297305107,381,536000,1405,7.237194927023023e-05,0.052533458918333054,6699,-20.7,0.7759377360343933,914.9,6700
-1.781711459159851,-0.023907795548439026,381,544000,1425,7.237194927023023e-05,0.016380751505494118,6799,-20.8,0.9303046688437462,873.1,6800
-1.7758086919784546,-0.023386327549815178,381,552000,1446,7.237194927023023e-05,0.038493186235427856,6899,-20.5,0.8256961107254028,939.1,6900
-1.7666332721710205,-0.0374407134950161,381,560000,1466,7.237194927023023e-05,0.008599569089710712,6999,-20.8,0.8999974653124809,915.6,7000
-1.7677841186523438,-0.03554229065775871,381,568000,1487,7.237194927023023e-05,0.05996884033083916,7099,-20.7,0.659218043088913,881.7,7100
-1.7756645679473877,0.04728397727012634,381,576000,1508,7.237194927023023e-05,0.023152697831392288,7199,-20.7,0.9315531402826309,888.4,7200
-1.773230791091919,-0.034087687730789185,381,584000,1528,7.237194927023023e-05,0.021863676607608795,7299,-20.5,0.8462797105312347,926.4,7300
-1.7710884809494019,0.05105440691113472,382,592000,1549,7.237194927023023e-05,0.07226438820362091,7399,-20.8,0.6826397776603699,943.4,7400
-1.766879677772522,0.0736023336648941,382,600000,1570,7.237194927023023e-05,0.04908328875899315,7499,-20.8,0.5767267644405365,924.0,7500
-1.771668791770935,-0.025550026446580887,382,608000,1590,7.237194927023023e-05,0.041534777730703354,7599,-20.7,0.8180245012044907,899.0,7600
-1.7760670185089111,-0.08481356501579285,382,616000,1611,7.237194927023023e-05,0.022511595860123634,7699,-20.5,0.9374344125390053,996.8,7700
-1.7686868906021118,0.047580815851688385,382,624000,1632,7.237194927023023e-05,0.018799850717186928,7799,-20.6,0.9245064184069633,943.4,7800
-1.7629293203353882,-0.08712220191955566,382,632000,1652,7.237194927023023e-05,0.02984222210943699,7899,-20.6,0.9200820103287697,933.5,7900
-1.7745863199234009,-0.1593640297651291,382,640000,1673,7.237194927023023e-05,0.05241740867495537,7999,-20.5,0.7418020069599152,956.4,8000
-1.7685596942901611,-0.015050358138978481,382,648000,1693,7.237194927023023e-05,0.051187168806791306,8099,-20.6,0.693136602640152,959.8,8100
-1.781161904335022,-0.08819714933633804,382,656000,1714,7.237194927023023e-05,0.1444917470216751,8199,-20.9,0.6161230504512787,953.2,8200
-1.774180293083191,0.0241792481392622,382,664000,1734,7.237194927023023e-05,0.049235206097364426,8299,-20.6,0.7907091975212097,934.6,8300
-1.7532192468643188,0.1322260946035385,382,672000,1755,7.237194927023023e-05,0.036949366331100464,8399,-20.4,0.8575834035873413,994.6,8400
-1.7693313360214233,0.004569154232740402,382,680000,1775,7.237194927023023e-05,0.04255692660808563,8499,-20.6,0.7325236201286316,971.5,8500
-1.7637964487075806,0.14828577637672424,383,688000,1796,7.237194927023023e-05,0.10119940340518951,8599,-20.3,0.6270276308059692,961.4,8600
-1.7574119567871094,-0.11557342112064362,383,696000,1816,7.237194927023023e-05,0.05897878482937813,8699,-20.7,0.5462003946304321,971.7,8700
-1.7607316970825195,-0.026122039183974266,383,704000,1837,7.237194927023023e-05,0.02224760688841343,8799,-20.1,0.9392707832157612,1068.3,8800
-1.7533400058746338,0.20483672618865967,383,712000,1857,7.237194927023023e-05,0.06804060935974121,8899,-20.3,0.5985186994075775,1016.1,8900
-1.7454344034194946,0.049659937620162964,383,720000,1878,7.237194927023023e-05,0.05957977846264839,8999,-20.6,0.8201860040426254,970.7,9000
-1.7431068420410156,0.020505353808403015,383,728000,1898,7.237194927023023e-05,0.07974519580602646,9099,-20.7,0.6118952929973602,982.7,9100
-1.7602897882461548,-0.02500566840171814,383,736000,1919,7.237194927023023e-05,0.04782262444496155,9199,-20.2,0.7261738479137421,1005.2,9200
-1.7522982358932495,-0.08576804399490356,383,744000,1939,7.237194927023023e-05,0.08611605316400528,9299,-20.6,0.41028857231140137,1026.2,9300
-1.7655099630355835,0.10624682158231735,383,752000,1960,7.237194927023023e-05,0.061095137149095535,9399,-20.5,0.6237974464893341,1004.7,9400
-1.7431102991104126,0.06985040754079819,383,760000,1980,7.237194927023023e-05,0.12394799292087555,9499,-20.6,0.3740460276603699,1043.4,9500
-1.7575756311416626,0.13726435601711273,383,768000,2001,7.237194927023023e-05,0.09297143667936325,9599,-20.4,0.355135977268219,1035.3,9600
-1.7437210083007812,-0.09537176042795181,383,776000,2021,7.237194927023023e-05,0.12613868713378906,9699,-20.1,0.5137134492397308,993.3,9700
-1.7201212644577026,-0.10047361999750137,383,784000,2042,7.237194927023023e-05,0.026818333193659782,9799,-20.6,0.8995293229818344,1001.6,9800
-1.7399343252182007,-0.07312140613794327,384,792000,2062,7.237194927023023e-05,0.08379562199115753,9899,-20.4,0.7395587861537933,1089.4,9900
-1.7382583618164062,-0.025659579783678055,384,800000,2082,7.237194927023023e-05,0.04174845293164253,9999,-20.8,0.7283881306648254,1033.6,10000
-1.7326873540878296,0.09139381349086761,384,808000,2103,7.237194927023023e-05,0.12084219604730606,10099,-20.3,0.6635368466377258,1120.1,10100
-1.6909325122833252,0.08647268265485764,384,816000,2123,7.237194927023023e-05,0.06315366178750992,10199,-20.4,0.7634431570768356,1081.7,10200
-1.722901701927185,-0.10528524965047836,384,824000,2144,7.237194927023023e-05,0.05351436138153076,10299,-20.6,0.7678048461675644,1054.1,10300
-1.7105995416641235,-0.08692270517349243,384,832000,2164,7.237194927023023e-05,0.0675937607884407,10399,-20.8,0.6566436290740967,1125.3,10400
-1.694273591041565,0.04098881781101227,384,840000,2185,7.237194927023023e-05,0.05716794729232788,10499,-20.6,0.7214964330196381,1091.2,10500
-1.6573009490966797,-0.08162831515073776,384,848000,2205,7.237194927023023e-05,0.07614711672067642,10599,-20.4,0.6069295406341553,1166.2,10600
-1.7074368000030518,-0.09913797676563263,384,856000,2225,7.237194927023023e-05,0.08520190417766571,10699,-20.6,0.5571692287921906,1130.9,10700
-1.6889013051986694,-0.11876729875802994,384,864000,2246,7.237194927023023e-05,0.03155107423663139,10799,-20.0,0.7924568951129913,1202.4,10800
-1.720587968826294,-0.21201184391975403,384,872000,2266,7.237194927023023e-05,0.05682409927248955,10899,-20.6,0.731856495141983,1118.1,10900
-1.6755561828613281,-0.0364815853536129,384,880000,2286,7.237194927023023e-05,0.056632351130247116,10999,-20.7,0.6033141613006592,1111.1,11000
-1.7086079120635986,-0.18617425858974457,384,888000,2307,7.237194927023023e-05,0.10243566334247589,11099,-20.6,0.5888989865779877,1169.4,11100
-1.6752079725265503,-0.04113318398594856,384,896000,2327,7.237194927023023e-05,0.0459633469581604,11199,-20.6,0.7347370684146881,1152.4,11200
-1.7041929960250854,0.053373802453279495,385,904000,2348,7.237194927023023e-05,0.05165558680891991,11299,-20.5,0.7095847725868225,1199.2,11300
-1.6852892637252808,-0.03417321667075157,385,912000,2368,7.237194927023023e-05,0.02732136845588684,11399,-20.6,0.8065780848264694,1119.1,11400
-1.6558468341827393,-0.03760095685720444,385,920000,2388,7.237194927023023e-05,0.09610220044851303,11499,-20.0,0.6140573024749756,1300.5,11500
-1.7184444665908813,0.06760581582784653,385,928000,2409,7.237194927023023e-05,0.05150159075856209,11599,-20.0,0.5983868539333344,1348.5,11600
-1.6296226978302002,0.10413902252912521,385,936000,2429,7.237194927023023e-05,0.1021813377737999,11699,-20.1,0.5829237401485443,1273.5,11700
-1.6430374383926392,0.13113513588905334,385,944000,2449,7.237194927023023e-05,0.0661204382777214,11799,-19.5,0.3995603919029236,1196.7,11800
-1.6639238595962524,-0.08306212723255157,385,952000,2470,7.237194927023023e-05,0.03802572563290596,11899,-20.1,0.8418643325567245,1254.8,11900
-1.6487663984298706,0.0032401413191109896,385,960000,2490,7.237194927023023e-05,0.06287505477666855,11999,-19.8,0.5981242656707764,1315.1,12000
-1.6203755140304565,0.04223065823316574,385,968000,2510,7.237194927023023e-05,0.057769786566495895,12099,-20.8,0.7680999487638474,1302.4,12100
-1.6624224185943604,-0.028000181540846825,385,976000,2531,7.237194927023023e-05,0.07084961980581284,12199,-20.0,0.5708768963813782,1305.3,12200
-1.6259689331054688,-0.036475446075201035,385,984000,2551,7.237194927023023e-05,0.05045362934470177,12299,-20.4,0.7838223427534103,1290.9,12300
-1.6624290943145752,0.02265874855220318,385,992000,2571,7.237194927023023e-05,0.05496147274971008,12399,-20.1,0.6791024804115295,1323.9,12400
-1.6532747745513916,-0.0837968960404396,385,1000000,2592,7.237194927023023e-05,0.07010399550199509,12499,-19.8,0.679535984992981,1321.9,12500
