time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/entropy_loss,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/n_updates,train/learning_rate,train/value_loss,train/approx_kl,train/policy_gradient_loss
32768,1,287,1.6,114,220.8,,,,,,,,,,
65536,2,258,2.0,253,245.8,-1.3655405577039346,0.2,0.2324310302734375,-0.01323552057147026,0.003015577793121338,10,0.0005311073035145371,0.05563032713307621,0.025317222,-0.021701875914732226
98304,3,249,7.0,394,398.3,-1.298882807372138,0.2,0.3091461181640625,-0.00495477020740509,0.6037053465843201,20,0.0005311073035145371,0.12810210661773452,0.03837153,-0.04859473798496765
131072,4,243,9.9,539,466.7,-1.2210734497755766,0.2,0.3531585693359375,0.06820958852767944,0.6854720711708069,30,0.0005311073035145371,0.14734316672038403,0.04802576,-0.057020234153060304
163840,5,246,14.2,664,548.9,-1.159487674338743,0.2,0.382427978515625,-0.00944405049085617,0.7724795788526535,40,0.0005311073035145371,0.12743659521947848,0.055597294,-0.05821406368395401
196608,6,249,16.4,789,665.3,-1.1140441571362316,0.2,0.4089080810546875,0.002743333578109741,0.830627977848053,50,0.0005311073035145371,0.12132624646546901,0.069495685,-0.0604437293824958
229376,7,251,20.0,912,701.2,-1.0731117925024591,0.2,0.4282501220703125,-0.010818831622600555,0.8382687121629715,60,0.0005311073035145371,0.11254635329423764,0.08067554,-0.059429689958324164
262144,8,253,24.5,1034,820.0,-1.0319352236459962,0.2,0.4423828125,-0.04713665693998337,0.8551712483167648,70,0.0005311073035145371,0.10658760672849894,0.09947719,-0.061972134373172595
294912,9,255,23.1,1156,805.0,-0.9964527213363908,0.2,0.4658660888671875,-0.04604369401931763,0.8812730312347412,80,0.0005311073035145371,0.10921777227413258,0.119341776,-0.06520771523137228
327680,10,256,23.6,1277,815.9,-0.948588011553511,0.2,0.4717987060546875,-0.04902774840593338,0.8984978944063187,90,0.0005311073035145371,0.1056472586667951,0.14112481,-0.06607160156745522
360448,11,257,27.4,1398,886.1,-0.9015632929862477,0.2,0.4755279541015625,-0.07119730114936829,0.907911017537117,100,0.0005311073035145371,0.11119143860923941,0.1541977,-0.06582319760782411
393216,12,258,28.3,1519,969.3,-0.8788431687979028,0.2,0.4783050537109375,0.0095582976937294,0.9064189121127129,110,0.0005311073035145371,0.1323232548125816,0.16289966,-0.06343306683302216
425984,13,259,21.9,1640,804.0,-0.856142453243956,0.2,0.478106689453125,-0.05049966648221016,0.9178638458251953,120,0.0005311073035145371,0.10144389994238737,0.17664173,-0.06313136108383333
458752,14,260,23.4,1760,841.9,-0.8173036462510936,0.2,0.4583770751953125,-0.016204364597797394,0.8855656087398529,130,0.0005311073035145371,0.15527026516865589,0.16922905,-0.056949822968636
491520,15,259,21.6,1890,809.3,-0.778018951404374,0.2,0.4399078369140625,-0.033691003918647766,0.9369911253452301,140,0.0005311073035145371,0.09443006493766007,0.16535741,-0.055673118610866365
524288,16,258,26.7,2028,934.7,-0.7787134071346372,0.2,0.4410491943359375,-0.06987006217241287,0.935859352350235,150,0.0005311073035145371,0.1133820875420497,0.1666958,-0.057054464590873974
557056,17,257,29.3,2166,983.7,-0.7645020521245897,0.2,0.4336212158203125,-0.0209292471408844,0.9138975664973259,160,0.0005311073035145371,0.1676243808295112,0.17261514,-0.05574173679742671
589824,18,257,24.9,2288,848.3,-0.7587771763093769,0.2,0.4499176025390625,-0.01607147604227066,0.9185841903090477,170,0.0005311073035145371,0.18008633767967694,0.1803229,-0.0572078077475453
622592,19,256,18.8,2427,727.0,-0.767048709106166,0.2,0.514495849609375,0.011123239994049072,0.8469366431236267,180,0.0005311073035145371,0.2534224436036311,0.20282525,-0.06087491830821819
655360,20,256,15.0,2551,692.7,-0.7523280672961846,0.2,0.557647705078125,0.04947295039892197,0.4859917163848877,190,0.0005311073035145371,0.42896908169350356,0.25460744,-0.06399063621620371
688128,21,257,30.8,2672,916.5,-0.7160205898922868,0.2,0.52059326171875,0.0956612229347229,0.6252535879611969,200,0.0005311073035145371,0.29358633167721565,0.30062592,-0.05900143621165625
720896,22,257,17.7,2795,669.5,-0.6732771623763256,0.2,0.47796630859375,0.04874774068593979,0.690961092710495,210,0.0005311073035145371,0.31265660085337005,0.3035406,-0.049341587443177556
753664,23,258,24.3,2916,849.1,-0.7006817611225415,0.2,0.47904052734375,0.06996338814496994,0.7440906465053558,220,0.0005311073035145371,0.2930761414550943,0.24357124,-0.04967946588922132
786432,24,258,23.2,3037,831.8,-0.7276159735745751,0.2,0.513702392578125,0.02955201268196106,0.8240673840045929,230,0.0005311073035145371,0.2773102785315132,0.22138736,-0.05552224531484171
819200,25,259,20.5,3160,787.0,-0.7568479959503748,0.2,0.4962554931640625,0.1538725644350052,0.7778809070587158,240,0.0005311073035145371,0.4862239590365789,0.21727958,-0.052295294283521795
851968,26,258,19.4,3294,775.4,-0.7314547219313681,0.2,0.4898406982421875,0.17621564865112305,0.6808799207210541,250,0.0005311073035145371,0.45821607167163164,0.23185897,-0.03904129360398656
884736,27,257,18.8,3433,755.4,-0.6961565139237791,0.2,0.495318603515625,0.04159465432167053,0.6229715943336487,260,0.0005311073035145371,0.399313745481777,0.3161421,-0.05385859923062526
917504,28,257,19.5,3556,778.8,-0.6329662774514873,0.2,0.47034912109375,0.020733140408992767,0.5389049351215363,270,0.0005311073035145371,0.33100268475318445,0.3314426,-0.050748905326508977
950272,29,257,21.2,3695,819.7,-0.6158592472726013,0.2,0.4821502685546875,-0.04891786724328995,0.5693440139293671,280,0.0005311073035145371,0.25950924830685834,0.3737898,-0.05369728910036429
983040,30,257,18.8,3820,728.7,-0.5993955496815033,0.2,0.4786041259765625,0.022639192640781403,0.6113505363464355,290,0.0005311073035145371,0.24466828361983062,0.4129448,-0.05484202520765393
1015808,31,257,16.1,3942,699.1,-0.6328069994458929,0.2,0.47325439453125,-0.0032859519124031067,0.6514042913913727,300,0.0005311073035145371,0.2886188014483196,0.36554572,-0.05355363971366387
