rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/loss,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/approx_kl
1.5,220.2,265,32768,123,1,,,,,,,,,,
3.0,292.1,231,65536,283,2,0.235504150390625,-0.02021515927362998,0.0003,-1.3660971655743197,0.025877710431814194,0.004010975360870361,10,0.2,0.04751036189663864,0.025259
3.6,298.9,218,98304,450,3,0.3032684326171875,-0.04506866479823657,0.0003,-1.3127820614725352,-0.00368659570813179,0.5905849933624268,20,0.2,0.11643534907343564,0.03309599
8.9,428.9,218,131072,600,4,0.2957977294921875,-0.05154500738499337,0.0003,-1.2459362271009014,0.011379465460777283,0.6595662832260132,30,0.2,0.1577869831206044,0.032240197
13.7,570.6,220,163840,743,5,0.304296875,-0.05183518989924778,0.0003,-1.1871394840069116,0.041230663657188416,0.751466378569603,40,0.2,0.14327703560047667,0.040802598
15.6,625.5,222,196608,885,6,0.3243896484375,-0.05134755120288901,0.0003,-1.1468484471202829,-0.013868920505046844,0.8152369558811188,50,0.2,0.12122217440628447,0.042508207
19.4,720.9,222,229376,1029,7,0.3345977783203125,-0.05066761150883394,0.0003,-1.1148867476149462,-0.0114823579788208,0.8504058569669724,60,0.2,0.10937502601846064,0.047654413
22.7,781.6,222,262144,1179,8,0.3553436279296875,-0.055099650781630774,0.0003,-1.0772272638976574,0.03897678107023239,0.8430970162153244,70,0.2,0.13362782504045753,0.05328363
22.6,767.7,220,294912,1335,9,0.382427978515625,-0.05990584821993252,0.0003,-1.0539412417565472,-0.06581857800483704,0.856029748916626,80,0.2,0.1270081230031792,0.062305536
22.6,802.9,220,327680,1483,10,0.4167083740234375,-0.06355909467656602,0.0003,-1.030835664307233,-0.05772856995463371,0.8929431140422821,90,0.2,0.101923552309745,0.07097003
25.3,840.8,221,360448,1624,11,0.4246429443359375,-0.06665443868650982,0.0003,-0.9953361322055571,-0.0016735531389713287,0.9129256308078766,100,0.2,0.09296341150911758,0.08164054
24.1,811.1,223,393216,1758,12,0.4283355712890625,-0.06918214454562985,0.0003,-0.9628399271517992,-0.060562171041965485,0.9311973229050636,110,0.2,0.08514617043583712,0.09375313
28.0,909.2,223,425984,1901,13,0.42332763671875,-0.06497432542546448,0.0003,-0.9116734908660874,-0.04908725619316101,0.9285375624895096,120,0.2,0.11408776430434955,0.09914342
30.3,977.6,224,458752,2045,14,0.4236114501953125,-0.0644480331208797,0.0003,-0.8697974833776243,-0.05822909623384476,0.944749727845192,130,0.2,0.0904553936663433,0.10835719
31.8,1030.2,221,491520,2215,15,0.4225830078125,-0.0611261536980237,0.0003,-0.8476632689824328,-0.04181113839149475,0.9432423561811447,140,0.2,0.10455392639123602,0.114924535
33.7,1046.8,221,524288,2365,16,0.432781982421875,-0.05934183056160691,0.0003,-0.8346829758374952,-0.06280087679624557,0.945315632969141,150,0.2,0.08098473570134956,0.12000494
37.8,1039.8,221,557056,2513,17,0.4106048583984375,-0.04836493572438485,0.0003,-0.7972335966071113,-0.0018933787941932678,0.9161807745695114,160,0.2,0.20316812968230807,0.11172004
40.6,1059.2,221,589824,2658,18,0.40716552734375,-0.04495887007615238,0.0003,-0.8040665109874681,-0.0008307024836540222,0.9030574783682823,170,0.2,0.2056703658126935,0.105944
28.2,779.1,221,622592,2807,19,0.40860595703125,-0.046224438712670235,0.0003,-0.8047394559602253,0.1337401270866394,0.9114459455013275,180,0.2,0.18452364715958539,0.09742387
22.4,635.2,222,655360,2950,20,0.406744384765625,-0.03867523239750881,0.0003,-0.8294876915053464,0.11412015557289124,0.7062713801860809,190,0.2,0.4517168869751913,0.08455434
47.8,1060.1,222,688128,3088,21,0.388531494140625,-0.051610762720338245,0.0003,-0.7906047094729729,0.04707443714141846,0.9055484309792519,200,0.2,0.294562521341868,0.08639623
53.4,1176.5,223,720896,3231,22,0.3741058349609375,-0.05278241287696801,0.0003,-0.7683612719294615,0.1355518400669098,0.9235483929514885,210,0.2,0.2491685172124562,0.08292769
45.5,1047.8,223,753664,3372,23,0.3464324951171875,-0.04828100632330461,0.0003,-0.7226501181314233,-0.00010935217142105103,0.9476427063345909,220,0.2,0.1914330524083198,0.074979834
42.0,984.3,224,786432,3510,24,0.31021728515625,-0.04351926390900189,0.0003,-0.6661210172984283,-0.026745790615677834,0.9619968868792057,230,0.2,0.14948585851707322,0.06535025
40.8,1014.2,223,819200,3666,25,0.29302978515625,-0.03640507688132857,0.0003,-0.631165974214673,0.0977218970656395,0.9635497555136681,240,0.2,0.1893680189972656,0.05730976
32.4,918.7,223,851968,3818,26,0.3503753662109375,-0.04592235761683696,0.0003,-0.6556812410533894,0.19423887133598328,0.9402561150491238,250,0.2,0.34097237489258986,0.071455434
26.2,893.9,222,884736,3967,27,0.39757080078125,-0.04603085820781416,0.0003,-0.6905387801059988,0.02153824269771576,0.8952455520629883,260,0.2,0.3806035111687379,0.090227276
29.4,950.6,223,917504,4112,28,0.42611083984375,-0.057196958250733586,0.0003,-0.6905663144600112,0.1718350201845169,0.8489835262298584,270,0.2,0.3070475137334142,0.10628247
26.5,870.2,223,950272,4249,29,0.4639404296875,-0.06181014371513811,0.0003,-0.7050376297207549,-0.058179233223199844,0.9132439345121384,280,0.2,0.1429138774994499,0.1345382
27.4,840.6,224,983040,4385,30,0.454638671875,-0.05910222962083935,0.0003,-0.7022699148626999,0.0290161594748497,0.8237127363681793,290,0.2,0.3826359052953194,0.14285521
14.8,623.6,224,1015808,4527,31,0.480548095703125,0.007726135398843326,0.0003,-0.6657656773168128,-0.04846162348985672,0.7308211922645569,300,0.2,0.2168102186449687,0.19076896
