time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/loss,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_range,train/clip_fraction,train/learning_rate,train/value_loss,train/approx_kl,train/policy_gradient_loss
82,1,846.3,-21.0,397,32768,,,,,,,,,,
212,2,917.9,-20.6,309,65536,0.08884292840957642,-1.783007531473413,10,-0.022933363914489746,0.2,0.067999267578125,0.0003,0.18871383373771095,0.008893591,-0.004036611456740502
340,3,929.6,-20.8,289,98304,0.0636523887515068,-1.774473512545228,20,0.36951059103012085,0.2,0.0795318603515625,0.0003,0.16243472998321523,0.00823666,-0.006719349616832915
457,4,974.3,-20.1,286,131072,0.09070891886949539,-1.75785141272936,30,0.615118682384491,0.2,0.095452880859375,0.0003,0.20004451851564226,0.008364707,-0.008957273703435931
577,5,1173.8,-20.1,283,163840,0.08908742666244507,-1.7300671882228926,40,0.7389255464076996,0.2,0.1203338623046875,0.0003,0.21801401218544925,0.010240788,-0.012822850656903029
700,6,1297.5,-19.3,280,196608,0.12237328290939331,-1.7027558282017707,50,0.8233424723148346,0.2,0.1464080810546875,0.0003,0.2213963526839507,0.012646069,-0.01512677602677286
820,7,1410.6,-19.0,279,229376,0.061451755464076996,-1.6660550791304558,60,0.8744329065084457,0.2,0.1592132568359375,0.0003,0.2085963237725082,0.014393002,-0.018622566637623093
938,8,1581.5,-18.6,279,262144,0.052202481776475906,-1.6428337258752435,70,0.8869370594620705,0.2,0.1801055908203125,0.0003,0.1957051782112103,0.016635884,-0.022092516952125153
1060,9,2137.7,-16.3,278,294912,-0.012123890221118927,-1.6139732915209606,80,0.8749793767929077,0.2,0.2172576904296875,0.0003,0.1868546998462989,0.021263082,-0.028042408768396854
1182,10,2264.4,-14.9,277,327680,-0.008895188570022583,-1.5825356597779319,90,0.854520320892334,0.2,0.2625701904296875,0.0003,0.16457374077144776,0.02634333,-0.03654797061399222
1310,11,2643.8,-13.9,274,360448,-0.025893323123455048,-1.5594733448466287,100,0.8488632142543793,0.2,0.32606201171875,0.0003,0.1510698157508159,0.036242865,-0.04792631615200662
1432,12,3337.6,-10.7,274,393216,-0.0616888590157032,-1.5122188829118386,110,0.8284813612699509,0.2,0.3846221923828125,0.0003,0.13086586184290355,0.04720025,-0.058479669804819424
1553,13,3554.4,-7.6,274,425984,-0.0538472980260849,-1.4669221094343812,120,0.7818916589021683,0.2,0.42969970703125,0.0003,0.12848996851680566,0.058370598,-0.06228079541606348
1670,14,3815.4,3.8,274,458752,-0.06493893265724182,-1.4086317994166166,130,0.7464024424552917,0.2,0.4634796142578125,0.0003,0.119532615110802,0.06927858,-0.06461383046216725
1790,15,3152.0,1.3,274,491520,-0.07322871685028076,-1.3699060214217753,140,0.6960109770298004,0.2,0.4754058837890625,0.0003,0.11726144264976028,0.07644482,-0.0626284114234295
1908,16,3290.8,1.8,274,524288,-0.06663719564676285,-1.3347121693426742,150,0.6515821814537048,0.2,0.498016357421875,0.0003,0.12041624205703556,0.08912818,-0.06877104914092343
2027,17,3149.7,1.6,274,557056,-0.08873625099658966,-1.2838731041410938,160,0.723632276058197,0.2,0.5047698974609375,0.0003,0.09328701992162677,0.09857781,-0.06440665247637298
2146,18,3108.9,8.0,274,589824,-0.05964330583810806,-1.2450577215640806,170,0.5699701011180878,0.2,0.5107421875,0.0003,0.14552863840581268,0.113063805,-0.06374619756043103
2279,19,2996.7,8.5,273,622592,-0.03570801019668579,-1.197229232126847,180,0.6984172463417053,0.2,0.50692138671875,0.0003,0.06381566764084709,0.10806079,-0.05603905610932998
2405,20,2852.9,8.7,272,655360,-0.09150368720293045,-1.1553129452629947,190,0.6907889246940613,0.2,0.5145538330078125,0.0003,0.07121376391660306,0.12251158,-0.06090822278983978
2523,21,2786.6,9.5,272,688128,-0.03933703154325485,-1.1112045237212442,200,0.73597052693367,0.2,0.5092010498046875,0.0003,0.06342376256252465,0.1320408,-0.05820328175141185
2641,22,2546.4,10.1,272,720896,-0.084077388048172,-1.0742935846094042,210,0.7498741447925568,0.2,0.5044647216796875,0.0003,0.051366895576575186,0.13207716,-0.052806413755752145
2759,23,2802.9,-1.0,273,753664,-0.05145876109600067,-1.0196140721789562,220,0.8114139884710312,0.2,0.4953704833984375,0.0003,0.037856680898494234,0.13094732,-0.048839663639864736
2876,24,2502.0,8.9,273,786432,-0.03902242332696915,-1.010161592939403,230,0.5471928715705872,0.2,0.514129638671875,0.0003,0.1492729522564332,0.16545789,-0.06495582599254704
3008,25,2290.6,12.0,272,819200,-0.07172955572605133,-0.9277214173111133,240,0.6649324893951416,0.2,0.4890655517578125,0.0003,0.08413732566277758,0.16023967,-0.04886862232442581
3135,26,2860.4,-0.3,271,851968,-0.06221695989370346,-0.8707173501839861,250,0.8347220420837402,0.2,0.4740478515625,0.0003,0.028677636858992626,0.1496119,-0.03981365599156561
3264,27,2459.2,10.3,271,884736,-0.0284910649061203,-0.9133006613235921,260,0.5362937450408936,0.2,0.5159423828125,0.0003,0.19173037955551991,0.20880544,-0.06783736686102201
3384,28,2388.3,11.5,271,917504,-0.04657410457730293,-0.8671266510966233,270,0.6820550858974457,0.2,0.4973876953125,0.0003,0.05245372263671015,0.17018872,-0.04477238427662087
3506,29,2780.7,4.5,271,950272,-0.010319910943508148,-0.844043624016922,280,0.8080074936151505,0.2,0.4725616455078125,0.0003,0.03903889546991195,0.16063373,-0.03937639663272421
3630,30,2493.1,8.8,270,983040,-0.03005925565958023,-0.8543331692460925,290,0.5816078782081604,0.2,0.4987335205078125,0.0003,0.14597931157186395,0.20848009,-0.060357108232710746
3753,31,2833.0,0.4,270,1015808,-0.04166082292795181,-0.7942863274598494,300,0.7222365438938141,0.2,0.4785430908203125,0.0003,0.0747707064365386,0.21731874,-0.045250703650526705
